Date,Target height (feet),Weight (g),Actual height (feet),Duration (second),Rubber band location (cm),Wind Speed (mph),Temp (C),Pressure (hPa),Humidity (%),Descent time (s),Rod angle (deg),Motor lot,Motor anomaly,Notes
3/26/2026,725,646,713,34,0,0,,,,,,,,
3/26/2026,750,624,728,33,0,0,,,,,,,,
4/12/2026,765,607,765,38,0,0,,,,,,,,
4/19/2026,775,600,770,42,0,5,,,,,,,,
4/26/2026,730,635,713,41,0,5,,,,,,,,
4/26/2026,760,610,729,38,0,5,,,,,,,,
5/2/2026,775,601,761,43,25,5,,,,,,,,
5/2/2026,725,630,731,42,0,5,,,,,,,,
5/3/2026,740,617,708,38,16,5,,,,,,,,
5/3/2026,740,616,732,46,16,10,,,,,,,,
5/3/2026,740,616,720,35,25,6,,,,,,,,
5/3/2026,740,614,711,38,25,5,,,,,,,,
5/16/2026,730,632,722,34,14,3,17.2,,,,0,,,TARC finals AM — matched model within 2 ft; 63F ambient
5/16/2026,725,638,673,24,11,8,28.3,,,16,0,,1,TARC finals PM — double-ignition (3 of 5 observers); motor in sun ~1h; apogee & duration outliers; excluded from model training
